"Type","Data Path","DTS","Note"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HE3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8HE3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AO","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8AO","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\8T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\Delta","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\CONTRAEJE\Delta","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\1T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-100\MOTOR\2VV","",""
