title,category,summit,date,url
La Libertad: detienen a seis personas en operativo contra minería ilegal en Pataz ,Policiales,"Se procedió a la incautación de materiales e implementos relacionados con la actividad minera ilegal, valorizados en más de 22 millones de soles.  ",2025-05-31 09:18,/policiales/la-libertad-detienen-seis-personas-en-operativo-contra-mineria-ilegal-en-pataz/
"Zainab Jama, la candidata a Miss Mundo que sobrevivió a mutilación genital a los 7 años en Somalia",Celebridades,La representante de Somalia conmovió al mundo al compartir su historia. Hoy lidera una fundación que lucha por erradicar esta práctica en su comunidad.,2025-05-31 09:16,/celebridades/zainab-jama-la-candidata-miss-mundo-que-sobrevivio-mutilacion-genital-los-7-anos-en-somalia/
Donald Trump apunta a duplicar los aranceles al acero y al aluminio,Mundo,"Desde que volvió a la presidencia en enero, Trump ha impuesto aranceles generalizados, tanto a aliados como a adversarios.",2025-05-31 08:51,/mundo/donald-trump-apunta-duplicar-los-aranceles-al-acero-y-al-aluminio/
Joe Biden inicia tratamiento contra el cáncer de próstata y asegura: “El pronóstico es bueno”,Mundo,"El exmandatario estadounidense, de 82 años, confirmó que ha comenzado su tratamiento oncológico y se mostró optimista sobre su evolución.",2025-05-31 08:48,/mundo/joe-biden-inicia-tratamiento-contra-el-cancer-de-prostata-y-asegura-el-pronostico-es-bueno/
"¿Quién es Alejandro Oviedo Echevarría, el nuevo jefe de la DINI?",Política,"El general PNP en retiro fue designado mediante la Resolución Suprema N.º 138-2025-PCM. Aunque su trayectoria incluye operaciones destacadas, también arrastra investigaciones fiscales.",2025-05-31 08:38,/politica/quien-es-alejandro-oviedo-echevarria-el-nuevo-jefe-de-la-dini/
"Israel acusa a Irán de querer ""completar su programa de armamento nuclear"" tras informe del OIEA",Mundo,El nivel de enriquecimiento al 60% del uranio se acerca del 90% necesario para fabricar armas nucleares.,2025-05-31 08:25,/mundo/israel-acusa-iran-de-querer-completar-su-programa-de-armamento-nuclear-tras-informe-del-oiea/
"Elon Musk se despide de la Casa Blanca, pero promete seguir apoyando a Trump",Mundo,"Durante una ceremonia en la Oficina Oval, Trump agradeció al empresario por su labor, elogiándolo por ""revolucionar la forma de hacer gobierno"" y le entregó simbólicamente una llave dorada de la Casa Blanca",2025-05-31 08:08,/mundo/elon-musk-se-despide-de-la-casa-blanca-pero-promete-seguir-apoyando-trump/
Día Mundial sin Tabaco 2025: cifras globales y razones para dejar de fumar,Mundo,Hoy se conmemora esta fecha para alertar sobre los daños del cigarro que causa 8 millones de muertes al año y sigue siendo una amenaza para la salud pública mundial.,2025-05-31 07:53,/mundo/dia-mundial-sin-tabaco-2025-cifras-globales-y-razones-para-dejar-de-fumar/
 Nuevo terminal del Jorge Chávez está listo y mañana comienza operaciones,Economía,"Infraestructura que requirió más de US$2,000 millones, y que atenderá a 40 millones de pasajeros el próximo año, fue inaugurada ayer, pone al Perú en los ojos del mundo, y abre las puertas para que se apueste por aeropuertos regionales.",2025-05-31 07:30,/economia/nuevo-terminal-del-jorge-chavez-esta-listo-y-manana-comienza-operaciones/
Aeropuerto Jorge Chávez cerrará oficialmente sus puertas HOY a las 11:59 p. m.,Economía,"Dará paso al nuevo terminal aéreo de la avenida Morales Duárez, como parte del plan de modernización de la principal infraestructura aeroportuaria del país",2025-05-31 07:23,/economia/nuevo-jorge-chavez-en-vivo-todo-lo-que-debes-saber-sobre-la-inauguracion-del-terminal-aereo/
Un vermouth de sabor español,Opinión,Vermouth Miró se ha consolidado como un emblema de la tradición vermutera española.,2025-05-31 07:11,/opinion/un-vermouth-de-sabor-espanol/
Estas son las cortitas de hoy sábado 31 de mayo de 2025,Política,"Entérate de todos los detalles políticos y del acontecer nacional en este breve, pero contundente resumen.",2025-05-31 07:10,/politica/estas-son-las-cortitas-de-hoy-sabado-31-de-mayo-de-2025/
Yo te acuso ,Opinión,"""Recordemos que tanto jueces como fiscales juran cumplir la Constitución. Pero luego, durante sus funciones, desacatan lo que dice la Constitución e incumplen manifiestamente la ley"".",2025-05-31 07:10,/opinion/yo-te-acuso-anibal-quiroga/
"Flor Ortola: ""Yo salí a buscar todo. A mí mucho me parece poco. Yo quiero todo”",Espectáculos,"Ha sido modelo en argentina y conductora de TV en Bolivia. Ha vivido sola en varios países, llegó hace tres años al Perú y entró al programa “Esto Es Guerra”. Y no le huye al amor, pero dice que el peruano es conservador y ella es muy libre.",2025-05-31 07:08,/espectaculos/flor-ortola-yo-sali-buscar-todo-mi-mucho-me-parece-poco-yo-quiero-todo/
Un invierno más frío que lo habitual para los chalacos y limeños,Opinión,"""Todo apunta a que los termómetros bajen más, la humedad suba más y el brillo solar se muestre cada vez más esquivo"".",2025-05-31 07:05,/opinion/un-invierno-mas-frio-que-lo-habitual-para-los-chalacos-y-limenos-por-abraham-levy/
 Ya intenté todo y nada me alivia,Opinión,"""El tratamiento de la migraña es como una mesa de cuatro patas, si una pata falla, la mesa tendrá una pata coja y no funcionará para lo que fue diseñada"".",2025-05-31 07:05,/opinion/ya-intente-todo-y-nada-me-alivia-por-ernesto-bancalari/
10 mil millones es plata como cancha ,Opinión,"“Luego de la aprobación del Ejecutivo a trasladar dos puntos porcentuales del IGV al Foncomun, queda claro qué obtienen César Acuña y APP por apoyar a un gobierno tan impopular”.",2025-05-31 07:05,/opinion/10-mil-millones-es-plata-como-cancha-gabriel-ortiz-de-zevallos/
Soltería por convicción,Opinión,"""Quizá lo que emerge no es tanto una crisis del amor, sino una profunda transformación de sus formas. Más que decir 'no' a la pareja, algunos están diciendo 'sí' a otras maneras de estar con otros"".",2025-05-31 07:05,/opinion/solteria-por-conviccion-por-roberto-lerner/
La inclusión forzada y otros cuentos ,Opinión,"“Si vemos más personas afrodescendientes, latinas, LGBTIQ+ o con discapacidad en productos audiovisuales, no es porque antes no existieran. Es porque antes se les excluía…”.",2025-05-31 07:05,/opinion/la-inclusion-forzada-y-otros-cuentos-diego-ato-cadenas/
"Saludable poder: Leche, fuente de vida",Vida,"Provee de proteínas, vitaminas y minerales esenciales que ayudan al correcto y saludable desarrollo corporal y mental. Destaca como aliado en la lucha contra la inseguridad alimentaria",2025-05-31 07:00,/vida/saludable-poder-leche-fuente-de-vida/
Pequeñas f(r)icciones: Desafiliación: imposible,Opinión,"""Acudí sin pérdida de tiempo y les aseguré que jamás me había inscrito en ningún partido y, mucho menos, en Perú Libre. Me dijeron que debía conseguir un documento que acredite mis palabras, de lo contrario, por normas internas, iban a descartar el apoyo económico prometido"". ",2025-05-31 07:00,/opinion/pequenas-fricciones-desafiliacion-imposible-yuri-rodriguez/
La captura y la ley,Opinión,"""Lo más grave es que sobre un sector productivo como es la minería formal, que paga impuestos, genera divisas y ofrece empleo de calidad, además de la violencia criminal, pende todavía, como una espada de Damocles, la posibilidad de un Reinfo interminable. En buena cuenta, la legitimación de lo ilegal"".",2025-05-31 07:00,/opinion/la-captura-y-la-ley/
Lo que desvela al peruano,Opinión,"""La alimentación es, sin duda, para el 69% de la población, una de las preocupaciones más acuciantes para los hogares"".",2025-05-31 07:00,/opinion/lo-que-desvela-al-peruano-por-javier-alvarez/
Así quedaron los bombos de la Copa Libertadores 2025: ¿Cuándo será el sorteo de octavos de final?,Deportes,Universitario de Deportes quedó entre los 16 mejores del torneo continental y ya espera rival. ,2025-05-30 23:07,/deportes/sorteo-octavos-de-final-copa-libertadores-2025-en-vivo-resultado/
Metamorfosis: el emprendimiento que da una nueva oportunidad a internas del Penal Santa Mónica,Perú,"Conoce más sobre la iniciativa que transforma la vida de mujeres privadas de su libertad, brindándoles una segunda oportunidad mediante la industria textil.",2025-05-30 22:06,/peru/metamorfosis-el-emprendimiento-que-da-una-nueva-oportunidad-internas-del-penal-santa-monica/
¡Indignante! Sujeto envenenó a 14 perritos en Villa El Salvador (VIDEO),Lima,Vecinos de la zona República de Francia aseguraron que un hombre dejó trozos de carne envenados en distintos puntos para matar a los canes.,2025-05-30 21:37,/lima/sujeto-enveneno-14-perritos-en-villa-el-salvador-video-maltrato-animal/
Bellavista: vecinos exigen reapertura de vías cerradas por obras de la Línea 2 del Metro,Lima,"Denuncian afectación a la movilidad, inseguridad y pérdidas económicas por cierre prolongado de avenida Óscar R. Benavides y puente Elmer Faucett.",2025-05-30 21:13,/lima/bellavista-vecinos-exigen-reapertura-de-vias-cerradas-por-obras-de-la-linea-2-del-metro/
